id	name	type	egg_group	hp	attack	defense	special-attack	special-defense	height	weight	speed	generation
69	bellsprout	grass,poison	plant	50	75	35	70	30	7	40	40	generation-i
70	weepinbell	grass,poison	plant	65	90	50	85	45	10	64	55	generation-i
71	victreebel	grass,poison	plant	80	105	65	100	70	17	155	70	generation-i
72	tentacool	water,poison	water3	40	40	35	50	100	9	455	70	generation-i
73	tentacruel	water,poison	water3	80	70	65	80	120	16	550	100	generation-i
74	geodude	rock,ground	mineral	40	80	100	30	30	4	200	20	generation-i
75	graveler	rock,ground	mineral	55	95	115	45	45	10	1050	35	generation-i
76	golem	rock,ground	mineral	80	120	130	55	65	14	3000	45	generation-i
77	ponyta	fire	ground	50	85	55	65	65	10	300	90	generation-i
78	rapidash	fire	ground	65	100	70	80	80	17	950	105	generation-i
79	slowpoke	water,psychic	water1,monster	90	65	65	40	40	12	360	15	generation-i
80	slowbro	water,psychic	water1,monster	95	75	110	100	80	16	785	30	generation-i
81	magnemite	electric,steel	mineral	25	35	70	95	55	3	60	45	generation-i
82	magneton	electric,steel	mineral	50	60	95	120	70	10	600	70	generation-i
83	farfetchd	normal,flying	ground,flying	52	65	55	58	62	8	150	60	generation-i
84	doduo	normal,flying	flying	35	85	45	35	35	14	392	75	generation-i
85	dodrio	normal,flying	flying	60	110	70	60	60	18	852	100	generation-i
86	seel	water	ground,water1	65	45	55	45	70	11	900	45	generation-i
87	dewgong	water,ice	ground,water1	90	70	80	70	95	17	1200	70	generation-i
88	grimer	poison	indeterminate	80	80	50	40	50	9	300	25	generation-i
89	muk	poison	indeterminate	105	105	75	65	100	12	300	50	generation-i
90	shellder	water	water3	30	65	100	45	25	3	40	40	generation-i
91	cloyster	water,ice	water3	50	95	180	85	45	15	1325	70	generation-i
92	gastly	ghost,poison	indeterminate	30	35	30	100	35	13	1	80	generation-i
93	haunter	ghost,poison	indeterminate	45	50	45	115	55	16	1	95	generation-i
94	gengar	ghost,poison	indeterminate	60	65	60	130	75	15	405	110	generation-i
95	onix	rock,ground	mineral	35	45	160	30	45	88	2100	70	generation-i
96	drowzee	psychic	humanshape	60	48	45	43	90	10	324	42	generation-i
97	hypno	psychic	humanshape	85	73	70	73	115	16	756	67	generation-i
98	krabby	water	water3	30	105	90	25	25	4	65	50	generation-i
99	kingler	water	water3	55	130	115	50	50	13	600	75	generation-i
100	voltorb	electric	mineral	40	30	50	55	55	5	104	100	generation-i
101	electrode	electric	mineral	60	50	70	80	80	12	666	140	generation-i
102	exeggcute	grass,psychic	plant	60	40	80	60	45	4	25	40	generation-i
103	exeggutor	grass,psychic	plant	95	95	85	125	65	20	1200	55	generation-i
104	cubone	ground	monster	50	50	95	40	50	4	65	35	generation-i
105	marowak	ground	monster	60	80	110	50	80	10	450	45	generation-i
106	hitmonlee	fighting	humanshape	50	120	53	35	110	15	498	87	generation-i
107	hitmonchan	fighting	humanshape	50	105	79	35	110	14	502	76	generation-i
108	lickitung	normal	monster	90	55	75	60	75	12	655	30	generation-i
109	koffing	poison	indeterminate	40	65	95	60	45	6	10	35	generation-i
110	weezing	poison	indeterminate	65	90	120	85	70	12	95	60	generation-i
111	rhyhorn	ground,rock	ground,monster	80	85	95	30	30	10	1150	25	generation-i
112	rhydon	ground,rock	ground,monster	105	130	120	45	45	19	1200	40	generation-i
113	chansey	normal	fairy	250	5	5	35	105	11	346	50	generation-i
114	tangela	grass	plant	65	55	115	100	40	10	350	60	generation-i
115	kangaskhan	normal	monster	105	95	80	40	80	22	800	90	generation-i
116	horsea	water	dragon,water1	30	40	70	70	25	4	80	60	generation-i
117	seadra	water	dragon,water1	55	65	95	95	45	12	250	85	generation-i
118	goldeen	water	water2	45	67	60	35	50	6	150	63	generation-i
119	seaking	water	water2	80	92	65	65	80	13	390	68	generation-i
120	staryu	water	water3	30	45	55	70	55	8	345	85	generation-i
121	starmie	water,psychic	water3	60	75	85	100	85	11	800	115	generation-i
122	mr-mime	psychic,fairy	humanshape	40	45	65	100	120	13	545	90	generation-i
123	scyther	bug,flying	bug	70	110	80	55	80	15	560	105	generation-i
124	jynx	ice,psychic	humanshape	65	50	35	115	95	14	406	95	generation-i
125	electabuzz	electric	humanshape	65	83	57	95	85	11	300	105	generation-i
126	magmar	fire	humanshape	65	95	57	100	85	13	445	93	generation-i
127	pinsir	bug	bug	65	125	100	55	70	15	550	85	generation-i
128	tauros	normal	ground	75	100	95	40	70	14	884	110	generation-i
129	magikarp	water	dragon,water2	20	10	55	15	20	9	100	80	generation-i
130	gyarados	water,flying	dragon,water2	95	125	79	60	100	65	2350	81	generation-i
131	lapras	water,ice	water1,monster	130	85	80	85	95	25	2200	60	generation-i
132	ditto	normal	ditto	48	48	48	48	48	3	40	48	generation-i
133	eevee	normal	ground	55	55	50	45	65	3	65	55	generation-i
134	vaporeon	water	ground	130	65	60	110	95	10	290	65	generation-i
135	jolteon	electric	ground	65	65	60	110	95	8	245	130	generation-i
136	flareon	fire	ground	65	130	60	95	110	9	250	65	generation-i
137	porygon	normal	mineral	65	60	70	85	75	8	365	40	generation-i
138	omanyte	rock,water	water3,water1	35	40	100	90	55	4	75	35	generation-i
139	omastar	rock,water	water3,water1	70	60	125	115	70	10	350	55	generation-i
140	kabuto	rock,water	water3,water1	30	80	90	55	45	5	115	55	generation-i
141	kabutops	rock,water	water3,water1	60	115	105	65	70	13	405	80	generation-i
142	aerodactyl	rock,flying	flying	80	105	65	60	75	18	590	130	generation-i
143	snorlax	normal	monster	160	110	65	65	110	21	4600	30	generation-i
144	articuno	ice,flying	no-eggs	90	85	100	95	125	17	554	85	generation-i
145	zapdos	electric,flying	no-eggs	90	90	85	125	90	16	526	100	generation-i
146	moltres	fire,flying	no-eggs	90	100	90	125	85	20	600	90	generation-i
147	dratini	dragon	dragon,water1	41	64	45	50	50	18	33	50	generation-i
148	dragonair	dragon	dragon,water1	61	84	65	70	70	40	165	70	generation-i
149	dragonite	dragon,flying	dragon,water1	91	134	95	100	100	22	2100	80	generation-i
150	mewtwo	psychic	no-eggs	106	110	90	154	90	20	1220	130	generation-i
151	mew	psychic	no-eggs	100	100	100	100	100	4	40	100	generation-i
