id	name	type	egg_group	hp	attack	defense	height	weight
87	Dewgong	ice	Ground	90	70	80	1.7	120
88	Grimer	poison	Indeterminate	80	80	50	0.9	30
89	Muk	poison	Indeterminate	105	105	75	1.2	30
90	Shellder	water	Water3	30	65	100	0.3	4
91	Cloyster	water	Water3	50	95	180	1.5	132.5
91	Cloyster	ice	Water3	50	95	180	1.5	132.5
92	Gastly	ghost	Indeterminate	30	35	30	1.3	0.1
92	Gastly	poison	Indeterminate	30	35	30	1.3	0.1
93	Haunter	ghost	Indeterminate	45	50	45	1.6	0.1
93	Haunter	poison	Indeterminate	45	50	45	1.6	0.1
94	Gengar	ghost	Indeterminate	60	65	60	1.5	40.5
94	Gengar	poison	Indeterminate	60	65	60	1.5	40.5
95	Onix	rock	Mineral	35	45	160	8.8	210
95	Onix	ground	Mineral	35	45	160	8.8	210
96	Drowzee	psychic	Human-like	60	48	45	1	32.4
97	Hypno	psychic	Human-like	85	73	70	1.6	75.6
98	Krabby	water	Water3	30	105	90	0.4	6.5
99	Kingler	water	Water3	55	130	115	1.3	60
100	Voltorb	electric	Mineral	40	30	50	0.5	10.4
101	Electrode	electric	Mineral	60	50	70	1.2	66.6
102	Exeggcute	psychic	Plant	60	40	80	0.4	2.5
102	Exeggcute	grass	Plant	60	40	80	0.4	2.5
103	Exeggutor	psychic	Plant	95	95	85	2	120
103	Exeggutor	grass	Plant	95	95	85	2	120
104	Cubone	ground	Monster	50	50	95	0.4	6.5
105	Marowak	ground	Monster	60	80	110	1	45
106	Hitmonlee	fighting	Human-like	50	120	53	1.5	49.8
107	Hitmonchan	fighting	Human-like	50	105	79	1.4	50.2
108	Lickitung	normal	Monster	90	55	75	1.2	65.5
109	Koffing	poison	Indeterminate	40	65	95	0.6	1
110	Weezing	poison	Indeterminate	65	90	120	1.2	9.5
111	Rhyhorn	rock	Monster	80	85	95	1	115
111	Rhyhorn	rock	Ground	80	85	95	1	115
111	Rhyhorn	ground	Monster	80	85	95	1	115
111	Rhyhorn	ground	Ground	80	85	95	1	115
112	Rhydon	rock	Monster	105	130	120	1.9	120
112	Rhydon	rock	Ground	105	130	120	1.9	120
112	Rhydon	ground	Monster	105	130	120	1.9	120
112	Rhydon	ground	Ground	105	130	120	1.9	120
113	Chansey	normal	Fairy	250	5	5	1.1	34.6
114	Tangela	grass	Plant	65	55	115	1	35
115	Kangaskhan	normal	Monster	105	95	80	2.2	80
116	Horsea	water	Water1	30	40	70	0.4	8
116	Horsea	water	Dragon	30	40	70	0.4	8
117	Seadra	water	Water1	55	65	95	1.2	25
117	Seadra	water	Dragon	55	65	95	1.2	25
118	Goldeen	water	Water2	45	67	60	0.6	15
119	Seaking	water	Water2	80	92	65	1.3	39
120	Staryu	water	Water3	30	45	55	0.8	34.5
121	Starmie	water	Water3	60	75	85	1.1	80
121	Starmie	psychic	Water3	60	75	85	1.1	80
122	Mr-mime	fairy	Human-like	40	45	65	1.3	54.5
122	Mr-mime	psychic	Human-like	40	45	65	1.3	54.5
123	Scyther	flying	Bug	70	110	80	1.5	56
123	Scyther	bug	Bug	70	110	80	1.5	56
124	Jynx	psychic	Human-like	65	50	35	1.4	40.6
124	Jynx	ice	Human-like	65	50	35	1.4	40.6
125	Electabuzz	electric	Human-like	65	83	57	1.1	30
126	Magmar	fire	Human-like	65	95	57	1.3	44.5
127	Pinsir	bug	Bug	65	125	100	1.5	55
128	Tauros	normal	Ground	75	100	95	1.4	88.4
129	Magikarp	water	Water2	20	10	55	0.9	10
129	Magikarp	water	Dragon	20	10	55	0.9	10
130	Gyarados	water	Water2	95	125	79	6.5	235
130	Gyarados	water	Dragon	95	125	79	6.5	235
130	Gyarados	flying	Water2	95	125	79	6.5	235
130	Gyarados	flying	Dragon	95	125	79	6.5	235
131	Lapras	water	Water1	130	85	80	2.5	220
131	Lapras	water	Monster	130	85	80	2.5	220
131	Lapras	ice	Water1	130	85	80	2.5	220
131	Lapras	ice	Monster	130	85	80	2.5	220
132	Ditto	normal	Ditto	48	48	48	0.3	4
133	Eevee	normal	Ground	55	55	50	0.3	6.5
134	Vaporeon	water	Ground	130	65	60	1	29
135	Jolteon	electric	Ground	65	65	60	0.8	24.5
136	Flareon	fire	Ground	65	130	60	0.9	25
137	Porygon	normal	Mineral	65	60	70	0.8	36.5
138	Omanyte	water	Water1	35	40	100	0.4	7.5
138	Omanyte	water	Water3	35	40	100	0.4	7.5
138	Omanyte	rock	Water1	35	40	100	0.4	7.5
138	Omanyte	rock	Water3	35	40	100	0.4	7.5
139	Omastar	water	Water1	70	60	125	1	35
139	Omastar	water	Water3	70	60	125	1	35
139	Omastar	rock	Water1	70	60	125	1	35
139	Omastar	rock	Water3	70	60	125	1	35
140	Kabuto	water	Water1	30	80	90	0.5	11.5
140	Kabuto	water	Water3	30	80	90	0.5	11.5
140	Kabuto	rock	Water1	30	80	90	0.5	11.5
140	Kabuto	rock	Water3	30	80	90	0.5	11.5
141	Kabutops	water	Water1	60	115	105	1.3	40.5
141	Kabutops	water	Water3	60	115	105	1.3	40.5
141	Kabutops	rock	Water1	60	115	105	1.3	40.5
141	Kabutops	rock	Water3	60	115	105	1.3	40.5
142	Aerodactyl	flying	Flying	80	105	65	1.8	59
142	Aerodactyl	rock	Flying	80	105	65	1.8	59
143	Snorlax	normal	Monster	160	110	65	2.1	460
144	Articuno	flying	Undiscovered	90	85	100	1.7	55.4
144	Articuno	ice	Undiscovered	90	85	100	1.7	55.4
145	Zapdos	flying	Undiscovered	90	90	85	1.6	52.6
145	Zapdos	electric	Undiscovered	90	90	85	1.6	52.6
146	Moltres	fire	Undiscovered	90	100	90	2	60
146	Moltres	flying	Undiscovered	90	100	90	2	60
147	Dratini	dragon	Water1	41	64	45	1.8	3.3
147	Dratini	dragon	Dragon	41	64	45	1.8	3.3
148	Dragonair	dragon	Water1	61	84	65	4	16.5
148	Dragonair	dragon	Dragon	61	84	65	4	16.5
149	Dragonite	flying	Water1	91	134	95	2.2	210
149	Dragonite	flying	Dragon	91	134	95	2.2	210
149	Dragonite	dragon	Water1	91	134	95	2.2	210
149	Dragonite	dragon	Dragon	91	134	95	2.2	210
150	Mewtwo	psychic	Undiscovered	106	110	90	2	122
151	Mew	psychic	Undiscovered	100	100	100	0.4	4
